, ,Unnamed: 1,Q1 Q1: First I would like to ask you about your current situation / family situation. How would you rate it on a scale from 1 to 5?,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
4812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4813, ,,Q46 Q46: What is the main threat that endangers your personal security? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4814,,,Total,,None,,Airstrike by Arab alliance,,Houthi group,,War/ armed clashes/ random bombings/ fires,,Spread of weapons and armed groups,,Spread of robbery groups/ kidnapping/ assassinations/ absence of state,,Bad services and living conditions,,Go out without Mahram (one of family men),,,(DK),,(RF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4815,,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Row N %,Count,Row N %,Count,Row N %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4816,National,National,585,1,40,0.06837606837606837,126,0.2153846153846154,21,0.0358974358974359,99,0.16923076923076924,48,0.08205128205128204,93,0.15897435897435896,45,0.07692307692307693,16,0.02735042735042735,0.06153846153846154,19,0.03247863247863248,14,0.02393162393162393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4817,North_South,North,462,1,26,0.05627705627705628,125,0.27056277056277056,21,0.045454545454545456,88,0.19047619047619047,37,0.08008658008658008,65,0.14069264069264067,34,0.0735930735930736,12,0.025974025974025972,0.047619047619047616,10,0.021645021645021644,3,0.006493506493506493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4818,,South,123,1,14,0.11382113821138212,1,0.008130081300813007,0,0,11,0.08943089430894309,11,0.08943089430894309,28,0.22764227642276424,11,0.08943089430894309,4,0.03252032520325203,0.11382113821138212,9,0.07317073170731708,11,0.08943089430894309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819,Governorate,Ibb,110,1,26,0.23636363636363636,9,0.08181818181818182,4,0.03636363636363636,5,0.045454545454545456,5,0.045454545454545456,3,0.02727272727272727,26,0.23636363636363636,11,0.1,0.01818181818181818,1,0.00909090909090909,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4820,,Abyan,28,1,0,0,0,0,0,0,3,0.10714285714285714,0,0,6,0.21428571428571427,7,0.25,0,0,0.32142857142857145,1,0.03571428571428572,1,0.03571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4821,,Sana'a City,49,1,0,0,16,0.326530612244898,3,0.061224489795918366,7,0.14285714285714288,4,0.0816326530612245,15,0.30612244897959184,0,0,0,0,0.0816326530612245,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4822,,al-Baydha',10,1,0,0,2,0.2,0,0,0,0,0,0,6,0.6,0,0,0,0,0,0,0,2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4823,,Taiz,106,1,0,0,1,0.009433962264150943,10,0.09433962264150944,48,0.45283018867924524,18,0.169811320754717,27,0.25471698113207547,0,0,0,0,0.018867924528301886,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4824,,al-Jawf,7,1,0,0,0,0,0,0,0,0,2,0.28571428571428575,3,0.42857142857142855,1,0.14285714285714288,0,0,0.14285714285714288,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4825,,Hajja,61,1,0,0,49,0.8032786885245902,0,0,2,0.03278688524590164,2,0.03278688524590164,3,0.04918032786885246,0,0,0,0,0.06557377049180328,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4826,,al-Hudaida,29,1,0,0,4,0.13793103448275862,3,0.10344827586206896,6,0.20689655172413793,4,0.13793103448275862,3,0.10344827586206896,0,0,1,0.034482758620689655,0.034482758620689655,7,0.24137931034482757,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4827,,Hadhramawt,14,1,0,0,0,0,0,0,0,0,0,0,2,0.14285714285714288,0,0,1,0.07142857142857144,0.14285714285714288,2,0.14285714285714288,6,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4828,,Dhamar,4,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4829,,Shabwa,24,1,1,0.04166666666666667,0,0,0,0,0,0,4,0.16666666666666669,13,0.5416666666666666,4,0.16666666666666669,0,0,0,0,0,1,0.04166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4830,,Sana'a,9,1,0,0,5,0.5555555555555556,0,0,0,0,2,0.2222222222222222,0,0,0,0,0,0,0.1111111111111111,0,0,1,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4831,,Aden,16,1,0,0,0,0,0,0,1,0.0625,2,0.125,1,0.0625,0,0,0,0,0.1875,6,0.375,3,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4832,,Lahj,6,1,0,0,0,0,0,0,0,0,2,0.33333333333333337,1,0.16666666666666669,0,0,3,0.5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4833,,Marib,3,1,0,0,0,0,1,0.33333333333333337,0,0,0,0,1,0.33333333333333337,0,0,0,0,0,1,0.33333333333333337,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4834,,al-Mahweet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4835,,al-Mahra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4836,,Amran,63,1,0,0,37,0.5873015873015873,0,0,20,0.31746031746031744,0,0,0,0,0,0,0,0,0.09523809523809523,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
