, ,Unnamed: 1,Q1 Q1: First I would like to ask you about your current situation / family situation. How would you rate it on a scale from 1 to 5?,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223, ,,Q5 Q5: How much time do you spend at school/university/work/vocational training?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,Total,,1-4 hours,,5-8 hours,,9-12 hours,,13-16 hours,,(DK),,(RF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,National,National,770,1,328,0.425974025974026,365,0.474025974025974,62,0.08051948051948052,9,0.011688311688311687,5,0.006493506493506493,1,0.0012987012987012985,0.22125974025974027,0.9922077922077922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,North_South,North,614,1,270,0.4397394136807818,291,0.4739413680781759,45,0.07328990228013028,5,0.008143322475570033,3,0.004885993485342019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,South,156,1,58,0.3717948717948718,74,0.4743589743589744,17,0.10897435897435898,4,0.025641025641025644,2,0.012820512820512822,1,0.006410256410256411,,,gov,rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Governorate,Ibb,85,1,17,0.2,61,0.7176470588235294,7,0.08235294117647057,0,0,0,0,0,0,0.2911764705882353,1,al-Mahweet,0.0825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Abyan,14,1,6,0.42857142857142855,7,0.5,1,0.07142857142857144,0,0,0,0,0,0,0.21214285714285716,1,al-Baydha',0.09625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Sana'a City,96,1,28,0.2916666666666667,65,0.6770833333333333,1,0.010416666666666668,2,0.020833333333333336,0,0,0,0,0.2511458333333333,1,al-Dhali',0.09666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,al-Baydha',24,1,19,0.7916666666666667,3,0.125,2,0.08333333333333334,0,0,0,0,0,0,0.09625,1,Dhamar,0.12195652173913045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,Taiz,98,1,43,0.4387755102040816,45,0.4591836734693877,9,0.09183673469387756,1,0.010204081632653062,0,0,0,0,0.2223469387755102,0.9999999999999999,al-Hudaida,0.1261764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,al-Jawf,9,1,0,0,9,1,0,0,0,0,0,0,0,0,0.33,1,Aden,0.1741666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,Hajja,75,1,33,0.44,35,0.4666666666666666,7,0.09333333333333334,0,0,0,0,0,0,0.2156,1,Rayma,0.18150000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,al-Hudaida,68,1,46,0.676470588235294,18,0.2647058823529412,4,0.05882352941176471,0,0,0,0,0,0,0.1261764705882353,1,Abyan,0.21214285714285716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
