, ,Unnamed: 1,Q1 Q1: First I would like to ask you about your current situation / family situation. How would you rate it on a scale from 1 to 5?,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
6577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6578, ,,Q62D Q62D: How do you evaluate the role that Iran plays in Yemen?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6579,,,Total,,Very negative,,2,,3,,4,,Very positive,,(DK),,(RF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6580,,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6581,National,National,1500,1,866,0.5773333333333334,78,0.052000000000000005,128,0.08533333333333333,45,0.03,36,0.024,339,0.226,8,0.005333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6582,North_South,North,1190,1,661,0.5554621848739496,76,0.0638655462184874,119,0.1,43,0.03613445378151261,36,0.030252100840336135,251,0.21092436974789916,4,0.0033613445378151263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6583,,South,310,1,205,0.6612903225806451,2,0.0064516129032258064,9,0.02903225806451613,2,0.0064516129032258064,0,0,88,0.2838709677419355,4,0.012903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6584,Governorate,Ibb,170,1,97,0.5705882352941177,19,0.11176470588235293,24,0.1411764705882353,10,0.05882352941176471,12,0.07058823529411765,8,0.047058823529411764,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6585,,Abyan,30,1,19,0.6333333333333333,1,0.03333333333333333,3,0.1,0,0,0,0,7,0.2333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6586,,Sana'a City,140,1,122,0.8714285714285714,1,0.007142857142857143,6,0.04285714285714286,2,0.014285714285714285,1,0.007142857142857143,7,0.05,1,0.007142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6587,,al-Baydha',40,1,13,0.325,1,0.025,3,0.075,3,0.075,6,0.15,14,0.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,,Taiz,190,1,132,0.6947368421052631,1,0.005263157894736842,0,0,0,0,2,0.010526315789473684,55,0.2894736842105263,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6589,,al-Jawf,30,1,16,0.5333333333333333,2,0.06666666666666667,4,0.13333333333333333,0,0,0,0,8,0.26666666666666666,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,,Hajja,120,1,50,0.41666666666666663,20,0.16666666666666669,32,0.26666666666666666,14,0.11666666666666665,3,0.025,1,0.008333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6591,,al-Hudaida,170,1,35,0.2058823529411765,4,0.023529411764705882,21,0.12352941176470589,4,0.023529411764705882,1,0.0058823529411764705,102,0.6,3,0.01764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6592,,Hadhramawt,80,1,28,0.35,1,0.0125,5,0.0625,1,0.0125,0,0,43,0.5375,2,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6593,,Dhamar,100,1,62,0.62,14,0.14,13,0.13,3,0.03,7,0.07,1,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6594,,Shabwa,40,1,29,0.725,0,0,0,0,0,0,0,0,10,0.25,1,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
