, ,Unnamed: 1,Q1 Q1: First I would like to ask you about your current situation / family situation. How would you rate it on a scale from 1 to 5?,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76
3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103, ,,Q34C Q34C: Please tell me how much you agree with (Community leaders give me the opportunity to communicate my needs to them ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,,,Total,,I agree,,I somewhat agree,,I neither agree nor disagree,,I somewhat disagree,,I disagree,,(DK),,(RF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,,,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,National,National,1500,1,93,0.062,187,0.12466666666666666,198,0.132,212,0.14133333333333334,598,0.39866666666666667,202,0.13466666666666666,10,0.006666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,North_South,North,1190,1,61,0.05126050420168068,155,0.13025210084033614,159,0.13361344537815126,159,0.13361344537815126,501,0.42100840336134454,154,0.12941176470588237,1,0.0008403361344537816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,,South,310,1,32,0.1032258064516129,32,0.1032258064516129,39,0.12580645161290321,53,0.1709677419354839,97,0.3129032258064516,48,0.15483870967741936,9,0.02903225806451613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,Governorate,Ibb,170,1,1,0.0058823529411764705,14,0.08235294117647057,54,0.3176470588235294,49,0.2882352941176471,50,0.29411764705882354,2,0.011764705882352941,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,,Abyan,30,1,2,0.06666666666666667,3,0.1,7,0.2333333333333333,3,0.1,11,0.36666666666666664,4,0.13333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,,Sana'a City,140,1,2,0.014285714285714285,13,0.09285714285714286,4,0.02857142857142857,8,0.05714285714285714,101,0.7214285714285714,12,0.08571428571428572,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,,al-Baydha',40,1,3,0.075,1,0.025,13,0.325,1,0.025,13,0.325,8,0.2,1,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,,Taiz,190,1,4,0.021052631578947368,25,0.13157894736842105,4,0.021052631578947368,26,0.1368421052631579,128,0.6736842105263158,3,0.015789473684210527,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,,al-Jawf,30,1,7,0.2333333333333333,15,0.5,7,0.2333333333333333,1,0.03333333333333333,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,,Hajja,120,1,11,0.09166666666666666,20,0.16666666666666669,31,0.2583333333333333,33,0.275,21,0.175,4,0.03333333333333333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,,al-Hudaida,170,1,5,0.029411764705882356,6,0.03529411764705882,13,0.07647058823529412,16,0.09411764705882353,57,0.33529411764705885,73,0.4294117647058823,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,,Hadhramawt,80,1,8,0.1,16,0.2,6,0.075,22,0.275,17,0.2125,11,0.1375,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,,Dhamar,100,1,10,0.1,33,0.33,17,0.17,14,0.14,22,0.22,4,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,,Shabwa,40,1,2,0.05,2,0.05,7,0.175,4,0.1,9,0.225,9,0.225,7,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3120,,Sana'a,70,1,1,0.014285714285714285,5,0.07142857142857144,3,0.04285714285714286,5,0.07142857142857144,54,0.7714285714285714,2,0.02857142857142857,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,,Aden,50,1,12,0.24,5,0.1,7,0.14,3,0.06,13,0.26,10,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3122,,Lahj,60,1,5,0.08333333333333334,6,0.1,4,0.06666666666666667,11,0.18333333333333332,34,0.5666666666666667,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,,Marib,20,1,3,0.15,8,0.4,2,0.1,1,0.05,6,0.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,,al-Mahweet,40,1,3,0.075,8,0.2,7,0.175,3,0.075,13,0.325,6,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,,al-Mahra,10,1,0,0,0,0,2,0.2,2,0.2,1,0.1,5,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,,Amran,70,1,11,0.15714285714285714,4,0.05714285714285714,2,0.02857142857142857,1,0.014285714285714285,25,0.35714285714285715,27,0.3857142857142857,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,,al-Dhali',40,1,3,0.075,0,0,6,0.15,8,0.2,12,0.3,9,0.225,2,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,,Rayma,30,1,0,0,3,0.1,2,0.06666666666666667,1,0.03333333333333333,11,0.36666666666666664,13,0.43333333333333335,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,Gender,Male,750,1,70,0.09333333333333334,121,0.16133333333333333,136,0.18133333333333332,126,0.168,233,0.31066666666666665,63,0.084,1,0.0013333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
